org,file_,URL,File,Lines_of_code,Require,Ensure,Include,Attribute,Hard_coded_string,Comment,Command,File_mode,SSH_KEY
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/disableaccount.pp,1,0,12,0,0,0,1,2,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/wikidatapagebanner.pp,1,1,14,0,0,0,3,2,6,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/emailauth.pp,1,0,14,0,0,0,2,4,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/moddoc.pp,1,0,18,1,0,1,4,5,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/widgets.pp,0,0,9,1,0,0,0,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/usermerge.pp,0,0,11,0,0,0,1,3,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/elk.pp,1,0,100,5,3,8,25,31,15,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/chart.pp,1,0,23,1,0,1,7,8,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/mediainfo.pp,0,0,60,0,0,4,19,23,11,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/globalusage.pp,1,0,20,2,0,0,5,7,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/throttleoverride.pp,1,0,13,0,0,0,2,2,5,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/adiutor.pp,1,0,9,0,0,0,0,1,5,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/langwikis.pp,0,0,8,0,0,0,0,0,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/wikimediaproduction.pp,0,0,104,0,0,100,0,0,2,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/monobook.pp,1,0,6,0,0,0,0,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/uls.pp,0,0,13,0,0,0,2,1,8,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/variables.pp,0,0,10,1,0,0,0,1,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/uploadwizard.pp,1,0,40,0,0,6,13,12,5,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/jsduck.pp,0,0,6,0,0,1,0,0,3,0,0,0
