org,file_,URL,File,Lines_of_code,Require,Ensure,Include,Attribute,Hard_coded_string,Comment,Command,File_mode,SSH_KEY
OPENSTACK,puppet-ceilometer/examples/ceilometer_with_gnocchi.pp,0,0,22,0,0,0,9,14,0,0,0,0
OPENSTACK,puppet-ceilometer/examples/site.pp,1,0,47,0,0,0,16,13,23,0,0,0
OPENSTACK,puppet-ceph/manifests/conf.pp,1,1,35,0,0,0,0,2,29,0,0,0
OPENSTACK,puppet-ceph/manifests/osds.pp,2,1,49,0,0,0,0,3,38,0,0,0
OPENSTACK,puppet-ceph/manifests/fs.pp,1,2,69,0,4,0,4,6,48,0,0,0
OPENSTACK,puppet-ceph/manifests/osd.pp,2,2,268,1,6,1,25,56,86,0,0,0
OPENSTACK,puppet-ceph/manifests/params.pp,2,1,69,0,0,0,0,20,42,0,0,0
OPENSTACK,puppet-ceph/manifests/mds.pp,1,3,127,0,10,0,17,28,52,0,1,0
OPENSTACK,puppet-ceph/manifests/mon.pp,1,2,232,0,6,1,24,42,75,0,0,0
OPENSTACK,puppet-ceph/manifests/rgw.pp,3,9,205,0,8,1,33,43,97,0,2,0
OPENSTACK,puppet-ceph/manifests/mirror.pp,1,1,57,0,4,0,6,13,31,0,0,0
OPENSTACK,puppet-ceph/manifests/mons.pp,1,1,35,0,0,0,0,2,29,0,0,0
OPENSTACK,puppet-ceph/manifests/keys.pp,1,1,35,0,0,0,0,2,29,0,0,0
OPENSTACK,puppet-ceph/manifests/key.pp,1,14,181,2,1,1,27,42,84,0,0,0
OPENSTACK,puppet-ceph/manifests/pool.pp,2,1,91,0,4,1,6,7,58,0,0,0
OPENSTACK,puppet-ceph/manifests/mgr.pp,1,4,92,1,6,0,19,30,46,0,0,0
OPENSTACK,puppet-ceph/manifests/init.pp,1,2,233,0,6,1,41,59,138,0,0,0
OPENSTACK,puppet-ceph/manifests/repo.pp,12,1,176,0,15,1,44,62,65,0,0,0
OPENSTACK,puppet-ceph/manifests/profile/base.pp,1,1,57,0,0,1,23,6,21,0,0,0
OPENSTACK,puppet-ceph/manifests/profile/fs.pp,1,1,29,1,0,0,2,2,21,0,0,0
OPENSTACK,puppet-ceph/manifests/profile/osd.pp,1,1,36,1,0,0,2,4,22,0,0,0
OPENSTACK,puppet-ceph/manifests/profile/params.pp,2,2,258,0,0,0,0,11,195,0,0,0
OPENSTACK,puppet-ceph/manifests/profile/mds.pp,1,1,41,1,0,0,9,11,21,0,0,0
OPENSTACK,puppet-ceph/manifests/profile/mon.pp,1,1,45,1,0,0,9,7,22,0,0,0
OPENSTACK,puppet-ceph/manifests/profile/client.pp,1,1,35,1,0,0,1,4,24,0,0,0
OPENSTACK,puppet-ceph/manifests/profile/rgw.pp,1,1,55,1,0,0,19,4,21,0,0,0
OPENSTACK,puppet-ceph/manifests/profile/mirror.pp,1,1,30,1,0,0,2,3,21,0,0,0
OPENSTACK,puppet-ceph/manifests/profile/mgr.pp,1,1,30,1,0,0,3,4,21,0,0,0
OPENSTACK,puppet-ceph/manifests/rgw/keystone.pp,3,1,100,0,0,0,12,23,67,0,0,0
